naics,soc4,prox,tot_emp,share,wt
113000,1910,47.125,40.0,0.0784313725490196,3.6960784313725488
113000,4540,34.0,470.0,0.9215686274509803,31.333333333333332
113000,5330,73.85714285714286,0.0,0.0,0.0
115000,1910,47.125,290.0,0.11693548387096774,5.510584677419354
115000,1940,55.625,260.0,0.10483870967741936,5.831653225806452
115000,4110,54.5,30.0,0.012096774193548387,0.6592741935483871
115000,4140,48.333333333333336,120.0,0.04838709677419355,2.338709677419355
115000,4330,56.0,50.0,0.020161290322580645,1.129032258064516
115000,4360,48.5,60.0,0.024193548387096774,1.1733870967741935
115000,4390,53.5,40.0,0.016129032258064516,0.8629032258064516
115000,4510,45.5,60.0,0.024193548387096774,1.1008064516129032
115000,4520,50.142857142857146,1140.0,0.4596774193548387,23.049539170506915
115000,4930,55.266666666666666,40.0,0.016129032258064516,0.8913978494623656
115000,5191,55.94444444444444,90.0,0.036290322580645164,2.030241935483871
115000,5330,73.85714285714286,240.0,0.0967741935483871,7.147465437788019
115000,5370,47.53333333333333,60.0,0.024193548387096774,1.15
212000,1110,48.666666666666664,50.0,0.017793594306049824,0.8659549228944247
212000,1130,46.07142857142857,40.0,0.014234875444839857,0.6558210472801219
212000,1920,42.916666666666664,40.0,0.014234875444839857,0.6109134045077105
212000,4330,56.0,80.0,0.028469750889679714,1.594306049822064
212000,4351,58.0,40.0,0.014234875444839857,0.8256227758007118
212000,4360,48.5,70.0,0.02491103202846975,1.208185053380783
212000,4710,74.5,50.0,0.017793594306049824,1.325622775800712
212000,4720,69.05882352941177,240.0,0.08540925266903915,5.898262507850116
212000,4750,68.63636363636364,950.0,0.33807829181494664,23.20446457457134
212000,4930,55.266666666666666,60.0,0.021352313167259787,1.1800711743772243
212000,4990,65.84615384615384,150.0,0.05338078291814947,3.514919244456611
212000,5110,65.0,50.0,0.017793594306049824,1.1565836298932386
212000,5180,60.90909090909091,30.0,0.010676156583629894,0.6502749919120026
212000,5190,54.25,330.0,0.11743772241992882,6.370996441281139
212000,5310,62.75,80.0,0.028469750889679714,1.786476868327402
212000,5330,73.85714285714286,270.0,0.09608540925266904,7.096593797661414
212000,5370,47.53333333333333,170.0,0.060498220640569395,2.875682087781732
212000,5371,55.5,110.0,0.03914590747330961,2.172597864768683
221000,1110,48.666666666666664,180.0,0.024725274725274724,1.2032967032967032
221000,1130,46.07142857142857,330.0,0.04532967032967033,2.0884026687598114
221000,1190,56.46666666666667,60.0,0.008241758241758242,0.4653846153846154
221000,1191,48.1764705882353,80.0,0.01098901098901099,0.5294117647058825
221000,1310,52.35,150.0,0.020604395604395604,1.07864010989011
221000,1311,49.0,280.0,0.038461538461538464,1.8846153846153848
221000,1320,47.333333333333336,110.0,0.01510989010989011,0.7152014652014652
221000,1511,47.53846153846154,260.0,0.03571428571428571,1.6978021978021978
221000,1720,46.416666666666664,420.0,0.057692307692307696,2.6778846153846154
221000,1721,49.36,0.0,0.0,0.0
221000,1730,53.964285714285715,180.0,0.024725274725274724,1.3342817896389325
221000,4130,54.285714285714285,80.0,0.01098901098901099,0.5965463108320251
221000,4310,47.0,80.0,0.01098901098901099,0.5164835164835165
