naics,soc4,prox,tot_emp,share,wt
11,1910,47.125,330.0,0.11036789297658862,5.201086956521739
11,1940,55.625,260.0,0.08695652173913043,4.83695652173913
11,4110,54.5,30.0,0.010033444816053512,0.5468227424749164
11,4140,48.333333333333336,120.0,0.04013377926421405,1.939799331103679
11,4330,56.0,50.0,0.016722408026755852,0.9364548494983277
11,4360,48.5,60.0,0.020066889632107024,0.9732441471571907
11,4390,53.5,40.0,0.013377926421404682,0.7157190635451505
11,4510,45.5,60.0,0.020066889632107024,0.9130434782608696
11,4520,50.142857142857146,1140.0,0.38127090301003347,19.118012422360252
11,4540,34.0,470.0,0.15719063545150502,5.344481605351171
11,4930,55.266666666666666,40.0,0.013377926421404682,0.7393534002229654
11,5191,55.94444444444444,90.0,0.030100334448160536,1.6839464882943145
11,5330,73.85714285714286,240.0,0.0802675585284281,5.92833253702819
11,5370,47.53333333333333,60.0,0.020066889632107024,0.9538461538461538
21,1110,48.666666666666664,50.0,0.017793594306049824,0.8659549228944247
21,1130,46.07142857142857,40.0,0.014234875444839857,0.6558210472801219
21,1920,42.916666666666664,40.0,0.014234875444839857,0.6109134045077105
21,4330,56.0,80.0,0.028469750889679714,1.594306049822064
21,4351,58.0,40.0,0.014234875444839857,0.8256227758007118
21,4360,48.5,70.0,0.02491103202846975,1.208185053380783
21,4710,74.5,50.0,0.017793594306049824,1.325622775800712
21,4720,69.05882352941177,240.0,0.08540925266903915,5.898262507850116
21,4750,68.63636363636364,950.0,0.33807829181494664,23.20446457457134
21,4930,55.266666666666666,60.0,0.021352313167259787,1.1800711743772243
21,4990,65.84615384615384,150.0,0.05338078291814947,3.514919244456611
21,5110,65.0,50.0,0.017793594306049824,1.1565836298932386
21,5180,60.90909090909091,30.0,0.010676156583629894,0.6502749919120026
21,5190,54.25,330.0,0.11743772241992882,6.370996441281139
21,5310,62.75,80.0,0.028469750889679714,1.786476868327402
21,5330,73.85714285714286,270.0,0.09608540925266904,7.096593797661414
21,5370,47.53333333333333,170.0,0.060498220640569395,2.875682087781732
21,5371,55.5,110.0,0.03914590747330961,2.172597864768683
22,1110,48.666666666666664,180.0,0.024725274725274724,1.2032967032967032
22,1130,46.07142857142857,330.0,0.04532967032967033,2.0884026687598114
22,1190,56.46666666666667,60.0,0.008241758241758242,0.4653846153846154
22,1191,48.1764705882353,80.0,0.01098901098901099,0.5294117647058825
22,1310,52.35,150.0,0.020604395604395604,1.07864010989011
22,1311,49.0,280.0,0.038461538461538464,1.8846153846153848
22,1320,47.333333333333336,110.0,0.01510989010989011,0.7152014652014652
22,1511,47.53846153846154,260.0,0.03571428571428571,1.6978021978021978
22,1720,46.416666666666664,420.0,0.057692307692307696,2.6778846153846154
22,1721,49.36,0.0,0.0,0.0
